POP ID,NSG,Institución
MQ-A-3053-TE-R-S01-01,MQ_A_3053_IE_1,43131
MQ-A-3054-TE-R-S01-01,MQ_A_3054_IE_1,TASSA
MQ-A-3055-TE-R-S01-01,-,-
MQ-A-3055-TE-R-S01-02,MQ_A_3055_IE_1,43127
MQ-A-3057-IN-R-S01-01,-,-
MQ-A-3057-IN-R-S01-02,MQ_A_3057_IE_1,JOSE ANTONIO ENCINAS
MQ-A-3058-TE-R-S01-01,MQ_A_3074_CS_1,P.S. HUATAGUA
MQ-A-3058-TE-R-S01-02,MQ_A_3058_IE_1,336 / 43124
MQ-A-3059-TE-R-S01-01,MQ_A_3059_CS_1,P.S. ANASCAPA
MQ-A-3059-TE-R-S01-01,MQ_A_3059_IE_1,43121 DANIEL ALCIDES CARRIÓN
MQ-A-3060-IN-R-S01-01,-,-
MQ-A-3060-IN-R-S01-02,MQ_A_3060_IE_1,43134
MQ-A-3062-TE-R-S01-01,MQ_A_3062_IE_1,43137
MQ-A-3062-TE-R-S01-02,-,-
MQ-A-3063-TE-R-S01-01,MQ_A_3063_IE_1,43004
MQ-A-3065-TE-R-S01-01,MQ_A_3065_IE_1,43076
MQ-A-3068-TE-R-S01-01,MQ_A_3068_IE_1,43140
MQ-A-3068-TE-R-S01-02,MQ_A_3046_IE_1,VIRGEN DEL CARMEN
MQ-A-3070-TE-R-S01-01,MQ_A_3070_IE_1,43069
MQ-A-3070-TE-R-S01-02,-,-
MQ-A-3075-IN-R-S01-01,MQ_A_3075_IE_1,ALMIRANTE MIGUEL GRAU SEMINARIO
MQ-A-3075-IN-R-S01-01,MQ_A_3075_CS_1,ALMIRANTE MIGUEL GRAU SEMINARIO
MQ-A-3076-TE-R-S01-01,MQ_A_3076_CS_1,P.S. PACHAS
MQ-A-3076-TE-R-S01-01,MQ_A_3076_IE_1,235
MQ-A-3076-TE-R-S01-01,MQ_A_3076_IE_2,TECNICO AGROPECUARIO SANTIAGO DE PACHAS
MQ-A-3078-TE-R-S01-01,MQ_A_3078_CS_1,P.S. SAN CRISTOBAL
MQ-A-3078-TE-R-S01-01,MQ_A_3078_IE_1,CESAR VIZCARRA VARGAS
MQ-A-3078-TE-R-S01-02,-,-
TA-A-4001-DS-R-S01-01,TA_A_4001_CS_1,INCLAN
TA-A-4001-DS-R-S01-01,TA_A_4001_DP_1,CPNP SAMA INCLAN
TA-A-4001-DS-R-S01-01,TA_A_4001_IE_1,354 VIRGEN MARIA
TA-A-4001-DS-R-S01-01,TA_A_4001_IE_2,42032 JOSE JOAQUIN INCLAN
TA-A-4002-DS-R-S01-01,TA_A_4002_CS_1,PACHIA
TA-A-4002-DS-R-S01-01,TA_A_4002_DP_1,CPNP PACHIA
TA-A-4002-DS-R-S01-02,TA_A_4002_IE_1,334 VIRGENCITA DE LOURDES
TA-A-4002-DS-R-S01-03,-,-
TA-A-4003-DS-R-S01-01,TA_A_4003_CS_1,PALCA
TA-A-4003-DS-R-S01-01,TA_A_4003_IE_1,42063 JOSE MARIA ARGUEDAS ALTAMIRANO
TA-A-4004-DS-R-S01-01,TA_A_4004_CS_1,LOS PALOS
TA-A-4004-DS-R-S01-01,TA_A_4004_IE_2,LOS PALOS
TA-A-4004-DS-R-S01-02,TA_A_4004_IE_1,352
TA-A-4006-DS-R-S01-01,TA_A_4006_CS_1,ILABAYA
TA-A-4006-DS-R-S01-01,TA_A_4006_DP_1,CPNP RURAL ILABAYA
TA-A-4006-DS-R-S01-01,TA_A_4006_IE_1,311
TA-A-4006-DS-R-S01-01,TA_A_4006_IE_2,GUSTAVO PINTO ZEVALLOS
TA-A-4007-DS-R-S01-01,TA_A_4007_CS_1,CHUCATAMANI
TA-A-4007-DS-R-S01-01,TA_A_4007_IE_1,42086 HEROES ALBARRACIN
TA-A-4007-DS-R-S01-02,-,-
TA-A-4008-DS-R-S01-01,-,-
TA-A-4008-DS-R-S01-02,TA_A_4008_IE_1,42205
TA-A-4009-IN-R-S01-01,TA_A_4012_CS_1,TARUCACHI
TA-A-4009-IN-R-S01-01,TA_A_4012_IE_1,310 TARUCACHI
TA-A-4009-IN-R-S01-02,TA_A_4009_CS_1,ESTIQUE PAMPA
TA-A-4009-IN-R-S01-02,TA_A_4009_DP_1,CPNP ESTIQUE PAMPA
TA-A-4009-IN-R-S01-02,TA_A_4009_IE_1,339 ESTIQUE PAMPA
TA-A-4010-DS-R-S01-01,TA_A_4010_CS_1,SITAJARA
TA-A-4010-DS-R-S01-01,TA_A_4010_DP_1,CPNP RURAL SITAJARA
TA-A-4010-DS-R-S01-01,TA_A_4010_IE_1,319 SAN JUAN BAUTISTA
TA-A-4011-DS-R-S01-01,TA_A_4011_DP_1,CPNP RUAL SUSAPAYA  
TA-A-4011-DS-R-S01-02,TA_A_4011_CS_1,SUSAPAYA
TA-A-4011-DS-R-S01-02,TA_A_4011_IE_1,42096 MATEO PUMACAHUA
TA-A-4013-TE-R-S01-01,TA_A_4013_CS_1,TICACO
TA-A-4013-TE-R-S01-01,TA_A_4013_DP_1,CPNP TICACO
TA-A-4013-TE-R-S01-01,TA_A_4013_IE_1,316 VICTORIA BARCIA BONIFATTI
TA-A-4013-TE-R-S01-02,-,-
TA-A-4018-DS-R-S01-01,TA_A_4018_CS_1,P.S QUILAHUANI
TA-A-4018-DS-R-S01-01,TA_A_4018_IE_1,42091 ENRIQUE DEMETRIO ESTRADA
TA-A-4018-DS-R-S01-02,TA_A_4018_IE_2,42091 ENRIQUE DEMETRIO ESTRADA
TA-A-4019-TE-R-S01-01,TA_A_4019_IE_1,364
TA-A-4021-TE-R-S01-01,TA_A_4021_IE_1,376 SANTO DOMINGO SABIO
TA-A-4021-TE-R-S01-02,TA_A_4022_IE_1,335 NUESTRA SE@ORA DEL SANTO ROSARIO
TA-A-4021-TE-R-S01-03,TA_A_4020_IE_1,377
TA-A-4026-TE-R-S01-01,TA_A_4025_IE_1,42060 CRNEL MARCELINO VARELA BARRIOS
TA-A-4026-TE-R-S01-02,TA_A_4026_IE_1,42058 OLGA GROHMAN DE BASADRE
TA-A-4026-TE-R-S01-03,TA_A_4026_IE_2,MICULLA
TA-A-4029-TE-R-S01-01,TA_A_4029_IE_1,42259
TA-A-4029-TE-R-S01-02,-,-
TA-A-4030-TE-R-S01-01,TA_A_4030_CS_1,VILA VILA
TA-A-4030-TE-R-S01-01,TA_A_4030_IE_1,353 NI@O JESUS DE PRAGA
TA-A-4030-TE-R-S01-01,TA_A_4030_IE_2,42207 SAN PEDRO
TA-A-4030-TE-R-S01-02,-,-
TA-A-4030-TE-R-S01-03,-,-
TA-A-4031-IN-R-S01-01,TA_A_4031_CS_1,P.S CARLOS ALBERTO JARA ALMONTE FLOR
TA-A-4031-IN-R-S01-01,TA_A_4031_DP_1,CPNP BOCA DEL RIO
TA-A-4031-IN-R-S01-01,TA_A_4031_IE_1,42197 VICTOR GUTIERREZ ORDO@ES
TA-A-4031-IN-R-S01-02,-,-
TA-A-4032-TE-R-S01-01,TA_A_4032_IE_1,42261 NUEVO COPARE
TA-A-4033-TE-R-S01-01,TA_A_4033_IE_1,42213 HUGO SALAZAR DEL ALCAZAR
TA-A-4033-TE-R-S01-02,-,-
TA-A-4033-TE-R-S01-03,-,-
TA-A-4034-IN-R-S01-01,TA_A_4066_IE_1,356
TA-A-4034-IN-R-S01-01,TA_A_4066_IE_2,42065 ROMULO BOLUARTE PONCE DE LEON
TA-A-4034-IN-R-S01-02,TA_A_4034_CS_1,28 DE AGOSTO
TA-A-4034-IN-R-S01-02,TA_A_4034_IE_1,28 DE AGOSTO
TA-A-4034-IN-R-S01-02,TA_A_4034_IE_2,28 DE AGOSTO
TA-A-4035-TE-R-S01-01,TA_A_4035_CS_1,5 Y 6  LA YARADA
TA-A-4035-TE-R-S01-01,TA_A_4035_IE_1,340 DIVINO NI@O JESUS
TA-A-4035-TE-R-S01-01,TA_A_4035_IE_2,42211 ALFONSO EYZAGUIRRE TARA
TA-A-4035-TE-R-S01-02,-,-
